Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
256,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,18,2002,1.3,78,86,90.7,1743,583,19,21,90.5,45,47,95.7,14,18,77.8,0,0.0,0.0,0,15,0,0,8,Matches
257,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,29,1991,26.4,780,1014,76.9,13416,2683,384,441,87.1,285,356,80.1,84,147,57.1,5,4.7,+0.3,39,47,43,13,68,Matches
258,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,29,1991,22.6,1130,1303,86.7,19122,5431,547,593,92.2,454,510,89.0,99,147,67.3,2,1.2,+0.8,11,84,13,2,91,Matches
259,Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,32,1988,18.1,565,749,75.4,11607,2330,212,261,81.2,230,279,82.4,108,161,67.1,5,4.5,+0.5,38,45,24,5,70,Matches
260,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,27,1992,9.8,281,419,67.1,5928,2426,106,135,78.5,123,178,69.1,50,91,54.9,1,0.3,+0.7,4,20,9,2,34,Matches
261,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,25,1995,5.7,224,294,76.2,4584,1152,83,97,85.6,102,123,82.9,37,64,57.8,0,0.9,-0.9,6,23,5,0,23,Matches
262,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,22,1998,14.1,444,566,78.4,8141,1898,180,221,81.4,210,244,86.1,47,81,58.0,0,0.4,-0.4,5,41,3,0,48,Matches
263,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,20,2000,1.2,22,37,59.5,356,35,12,17,70.6,5,8,62.5,3,7,42.9,0,0.0,0.0,1,1,0,0,0,Matches
264,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,20,2000,28.8,1460,1736,84.1,36305,10858,220,259,84.9,842,903,93.2,392,543,72.2,1,0.4,+0.6,4,102,5,0,110,Matches
265,Konrad Laimer\Konrad-Laimer,at AUT,DFFW,RB Leipzig,23,1997,0.9,39,51,76.5,511,197,21,22,95.5,15,22,68.2,1,2,50.0,0,0.0,0.0,0,2,1,1,4,Matches
266,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,27,1992,30.8,1289,1706,75.6,22635,9716,593,673,88.1,536,686,78.1,134,265,50.6,2,2.4,-0.4,34,97,33,16,148,Matches
267,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,35,1985,2.7,50,76,65.8,1438,840,8,8,100.0,26,26,100.0,16,42,38.1,0,0.0,0.0,0,1,0,0,0,Matches
268,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,30,1989,20.0,531,752,70.6,10159,2925,217,262,82.8,235,309,76.1,70,139,50.4,2,2.2,-0.2,23,39,7,2,67,Matches
269,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,24,1996,13.8,441,579,76.2,7354,2042,233,269,86.6,154,207,74.4,44,80,55.0,0,1.0,-1.0,16,27,9,4,32,Matches
