Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
508,Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,29,1990,17.2,0,0,0,19,17,5,5,5,8,2,0,0,61,20,47,29.9,Matches
509,Timo Werner\Timo-Werner,de GER,FW,Chelsea,24,1996,28.9,2,0,0,27,31,26,48,6,18,5,0,0,144,13,41,24.1,Matches
510,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30,1990,37.9,7,0,0,35,43,0,71,48,14,0,0,0,420,14,31,31.1,Matches
511,Ben White\Ben-White,eng ENG,DFMF,Brighton,22,1997,35.5,5,1,1,30,9,1,19,45,33,0,0,0,302,52,46,53.1,Matches
512,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,29,1990,32.7,1,0,0,17,25,0,4,25,24,0,0,0,295,37,50,42.5,Matches
513,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,19,2000,2.1,0,0,0,2,3,0,1,9,1,0,0,0,13,0,1,0.0,Matches
514,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,19,2001,2.8,1,0,0,3,6,0,11,5,5,0,1,0,24,3,3,50.0,Matches
515,Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,19,2001,7.3,0,0,0,4,2,0,0,8,2,0,0,0,76,32,7,82.1,Matches
516,Willian\Willian,br BRA,FWMF,Arsenal,31,1988,15.6,0,0,0,5,21,4,44,12,6,0,0,0,84,6,16,27.3,Matches
517,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,20,1999,2.6,1,0,0,6,4,1,5,5,4,0,0,0,21,7,5,58.3,Matches
518,Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,20,1999,10.9,0,0,0,9,16,0,10,32,25,1,1,0,80,13,25,34.2,Matches
519,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,28,1992,23.2,2,0,0,40,41,23,13,3,10,2,0,0,87,39,127,23.5,Matches
520,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,24,1996,9.6,5,0,0,11,12,0,2,16,14,0,0,0,102,8,6,57.1,Matches
521,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,28,1991,30.5,0,0,0,37,23,25,4,5,11,1,0,0,101,168,215,43.9,Matches
522,Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,27,1992,28.0,7,1,0,39,38,1,6,25,37,0,0,0,317,46,33,58.2,Matches
523,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,30,1989,4.2,3,0,0,8,6,5,11,3,4,0,0,0,29,3,3,50.0,Matches
524,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27,1993,4.8,0,0,0,4,4,1,8,3,6,0,0,0,28,4,3,57.1,Matches
525,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,26,1994,14.6,4,0,0,25,28,0,3,42,32,0,2,0,203,41,20,67.2,Matches
