Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Save%,Price
60,Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,21,1208,13.4,2.5,1.3,16,10,28,5,81.1,14,5,0,0
61,Bernard\Bernard,MFFW,Everton,12,455,5.1,0.2,0.7,5,9,12,3,79.4,10,2,0,0
62,Bernardo\Bernardo,DFMF,Brighton,3,206,2.3,0.3,0.2,8,6,8,3,71.3,2,0,0,0
63,Ryan Bertrand\Ryan-Bertrand,DF,Southampton,29,2598,28.9,0.6,1.2,71,47,102,56,76.8,13,3,0,0
64,Yves Bissouma\Yves-Bissouma,MF,Brighton,36,3111,34.6,1.2,1,114,56,174,67,87.2,15,3,0,0
65,Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,16,1110,12.3,1.7,0.2,36,26,56,22,78.3,4,7,0,0
66,Willy Boly\Willy-Boly,DF,Wolves,21,1879,20.9,1.1,0.4,41,27,64,104,82.8,3,3,0,0
67,Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,38,2562,28.5,6.3,4.6,23,39,45,5,68,28,16,0,0
68,Robbie Brady\Robbie-Brady,MF,Burnley,19,1052,11.7,0.8,0.9,22,25,31,24,67.7,7,5,0,0
69,Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,27,1128,12.5,1.7,1.7,14,16,20,3,69.3,8,7,0,0
70,Nathan Broadhead\Nathan-Broadhead,MF,Everton,1,3,0,0,0,1,0,1,0,100,0,0,0,0
71,Josh Brownhill\Josh-Brownhill,MF,Burnley,33,2813,31.3,1.9,1.1,51,59,104,56,79,19,8,0,0
72,Joe Bryan\Joe-Bryan,DFFW,Fulham,16,669,7.4,0.4,0.4,19,21,32,19,70.2,6,2,0,0
73,Kean Bryan\Kean-Bryan,DF,Sheffield Utd,13,1004,11.2,0.4,0.4,24,26,52,70,72.9,4,1,0,0
74,Oliver Burke\Oliver-Burke,FW,Sheffield Utd,25,1269,14.1,2.4,1.8,18,21,20,4,70.6,13,6,0,0
75,Dan Burn\Dan-Burn,DF,Brighton,27,2061,22.9,1.5,1,47,39,84,95,76.7,9,6,0,0
76,Jack Butland\Jack-Butland,GK,Crystal Palace,1,90,1,0,0,0,0,0,0,28.6,0,0,60,0
77,David Button\David-Button,GK,West Brom,1,90,1,0,0,0,0,0,0,43.2,0,0,71.4,0
78,Oskar Buur\Oskar-Buur,DF,Wolves,1,22,0.2,0,0,0,0,0,0,93.3,0,0,0,0
79,Willy Caballero\Willy-Caballero,GK,Chelsea,1,90,1,0,0,0,0,0,0,92.3,0,0,0,0
80,Gary Cahill\Gary-Cahill,DF,Crystal Palace,20,1800,20,0.7,0.7,13,45,32,127,84.6,8,3,0,0
81,Tom Cairney\Tom-Cairney,MF,Fulham,10,759,8.4,0.7,1.4,5,6,6,3,88.7,20,4,0,0
82,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,33,2871,31.9,15.3,2,17,31,22,31,71.6,17,46,0,0
83,Jọo Cancelo\Joao-Cancelo,DF,Manchester City,28,2299,25.5,2,4.9,77,38,130,36,85.7,44,11,0,0
84,Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,14,355,3.9,0.4,0.8,9,4,11,0,73.5,4,3,0,0
85,Andy Carroll\Andy-Carroll,FW,Newcastle Utd,18,392,4.4,1.2,0.1,2,2,3,11,63.1,2,2,0,0
86,Scott Carson\Scott-Carson,GK,Manchester City,1,90,1,0,0,0,0,0,0,93.8,0,0,33.3,0
87,Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,4,255,2.8,1.1,0.4,8,6,12,0,77.9,2,4,0,0
88,Matty Cash\Matty-Cash,DF,Aston Villa,28,2372,26.4,0.3,2.2,78,77,127,110,73.9,22,2,0,0
89,Kiko Casilla\Kiko-Casilla,GK,Leeds United,3,270,3,0,0,0,0,0,0,87.2,0,0,83.3,0
90,Timothy Castagne\Timothy-Castagne,DF,Leicester City,27,2345,26.1,1.3,2,59,53,82,67,83.8,22,3,0,0
91,Jonny Castro\Jonny-Castro,DF,Wolves,7,495,5.5,0.1,0.1,9,10,16,8,78.7,3,0,0,0
92,Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,36,2472,27.5,5.4,3.4,28,38,46,22,71.9,44,16,0,0
93,Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,26,1375,15.3,7.4,2.7,15,6,25,11,78.7,15,15,0,0
94,Dani Ceballos\Dani-Ceballos,MF,Arsenal,25,1615,17.9,0.7,2.9,40,29,64,21,86.5,27,2,0,0
95,Calum Chambers\Calum-Chambers,DF,Arsenal,10,753,8.4,0.6,1.1,9,16,23,45,80.3,11,0,0,0
96,Ben Chilwell\Ben-Chilwell,DF,Chelsea,27,2286,25.4,2.4,2.8,46,65,75,66,78.6,30,10,0,0
97,Hamza Choudhury\Hamza-Choudhury,MF,Leicester City,10,316,3.5,0.4,0,11,9,16,6,80.9,0,1,0,0
98,Andreas Christensen\Andreas-Christensen,DF,Chelsea,17,1371,15.2,0.1,0.4,20,26,46,80,92.8,6,0,0,0
99,Carney Chukwuemeka\Carney-Chukwuemeka,FWMF,Aston Villa,2,20,0.2,0.1,0,2,1,2,0,62.5,0,0,0,0
100,Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,22,1891,21,0.3,0.1,27,45,53,134,83,2,2,0,0
101,Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,13,1145,12.7,0.1,0.4,21,25,34,32,76.8,4,1,0,0
